,Charging Distance,Mountain Peak,Peak Longitude,Peak Latitude
19994,12.605139756799094,Maroon Peak,-106.98899999999999,39.0708
21236,14.484423751258316,Capitol Peak,-107.0829,39.1503
21250,12.600679926451598,Capitol Peak,-107.0829,39.1503
21264,12.80264568696145,Capitol Peak,-107.0829,39.1503
21824,17.811340894078352,Snowmass Mountain,-107.0665,39.1188
21840,14.24132722582115,Snowmass Mountain,-107.0665,39.1188
21856,12.635305223924556,Snowmass Mountain,-107.0665,39.1188
21872,13.097922213100508,Snowmass Mountain,-107.0665,39.1188
22848,14.055030627938383,Pyramid Peak,-106.9502,39.0717
22868,10.902441478913126,Pyramid Peak,-106.9502,39.0717
22888,10.43631520818251,Pyramid Peak,-106.9502,39.0717
22908,11.581647026891956,Pyramid Peak,-106.9502,39.0717
24448,11.924209499572234,Conundrum Peak,-106.862749,39.015682
24464,12.382977954823362,Conundrum Peak,-106.862749,39.015682
24480,13.077830623693531,Conundrum Peak,-106.862749,39.015682
24496,14.501933335963793,Conundrum Peak,-106.862749,39.015682
25472,14.257783695324525,North Maroon Peak,-106.987058,39.076007000000004
25490,12.081709754235172,North Maroon Peak,-106.987058,39.076007000000004
25508,11.262811902485426,North Maroon Peak,-106.987058,39.076007000000004
25526,12.24513397729003,North Maroon Peak,-106.987058,39.076007000000004
26768,17.083957883127894,Mt. Princeton,-106.2424,38.7492
26789,17.081297057250566,Mt. Princeton,-106.2424,38.7492
26810,18.721538906422758,Mt. Princeton,-106.2424,38.7492
26831,8.784970567539961,Mt. Princeton,-106.2424,38.7492
26852,9.157118538726907,Mt. Princeton,-106.2424,38.7492
26873,9.341543735039451,Mt. Princeton,-106.2424,38.7492
29414,12.116977336417866,Mt. Antero,-106.2462,38.6741
29435,12.11467238301703,Mt. Antero,-106.2462,38.6741
29456,14.51644892807605,Mt. Antero,-106.2462,38.6741
29477,13.155555171563432,Mt. Antero,-106.2462,38.6741
29498,13.405279128455803,Mt. Antero,-106.2462,38.6741
29519,13.673873967882692,Mt. Antero,-106.2462,38.6741
32060,8.937451627280566,Mt. Shavano,-106.2393,38.6192
32081,8.935898001885286,Mt. Shavano,-106.2393,38.6192
32102,11.540825696395036,Mt. Shavano,-106.2393,38.6192
32123,16.459515281061044,Mt. Shavano,-106.2393,38.6192
32144,16.64133990359719,Mt. Shavano,-106.2393,38.6192
32165,16.94561007829718,Mt. Shavano,-106.2393,38.6192
34706,8.979311313162624,Tabeguache Peak,-106.2509,38.6255
34727,8.977432460023271,Tabeguache Peak,-106.2509,38.6255
34748,12.300352825159635,Tabeguache Peak,-106.2509,38.6255
34769,16.29181754765685,Tabeguache Peak,-106.2509,38.6255
34790,16.49735238962809,Tabeguache Peak,-106.2509,38.6255
34811,16.790068758967816,Tabeguache Peak,-106.2509,38.6255
37352,13.47253517678864,Grays Peak,-105.8176,39.6339
37388,17.619421994419405,Grays Peak,-105.8176,39.6339
39944,13.302308829584556,Torreys Peak,-105.8212,39.6428
39981,17.544598872580377,Torreys Peak,-105.8212,39.6428
42682,12.539599520926588,Mt. Evans,-105.6438,39.5883
42707,16.57840893219871,Mt. Evans,-105.6438,39.5883
43932,13.61707656645413,Mt. Bierstadt,-105.6688,39.5826
43957,17.96645607090897,Mt. Bierstadt,-105.6688,39.5826
45182,10.216458002103288,Longs Peak,-105.6151,40.255
45711,11.81767759565425,Pikes Peak,-105.0442,38.8405
45727,14.911363322884968,Pikes Peak,-105.0442,38.8405
45743,17.810433456629912,Pikes Peak,-105.0442,38.8405
