,Mountain Peak,Distance from Campsite (miles),name,Long,Lat,Peak Longitude,Peak Latitude
55,Mt. Massive,8.90601077854268,White Star,-106.367,39.09,-106.4757,39.1875
56,Mt. Massive,18.242936003090687,Camp Hale Memorial,-106.314,39.42,-106.4757,39.1875
57,Mt. Massive,18.45376626047542,Dearhamer,-106.738,39.361,-106.4757,39.1875
58,La Plata Peak,17.86117364265095,Baby Doe,-106.351,39.27,-106.4729,39.0294
59,La Plata Peak,17.836510120466464,Belle of Colorado,-106.34899999999999,39.269,-106.4729,39.0294
60,La Plata Peak,9.037142586236698,Dexter,-106.325,39.092,-106.4729,39.0294
61,La Plata Peak,17.894959059171047,Difficult,-106.774,39.141,-106.4729,39.0294
62,La Plata Peak,10.55703166991047,Dinner Station,-106.587,38.905,-106.4729,39.0294
63,La Plata Peak,11.135695027079278,Dorchester,-106.663,38.965,-106.4729,39.0294
64,La Plata Peak,8.967981826264769,Elbert Creek,-106.41799999999999,39.152,-106.4729,39.0294
65,La Plata Peak,18.22844431553813,Father Dyer,-106.352,39.275999999999996,-106.4729,39.0294
66,La Plata Peak,9.984156416527664,Halfmoon East,-106.396,39.161,-106.4729,39.0294
67,La Plata Peak,9.773337538971045,Halfmoon West,-106.397,39.158,-106.4729,39.0294
68,La Plata Peak,7.440153467893186,Lakeview - Twin Lakes,-106.366,39.098,-106.4729,39.0294
69,La Plata Peak,13.36292093387271,Lincoln Gulch,-106.695,39.117,-106.4729,39.0294
70,La Plata Peak,10.368029658334812,Lost Man,-106.625,39.122,-106.4729,39.0294
71,La Plata Peak,16.913933864142333,Matchless,-106.36,39.258,-106.4729,39.0294
72,La Plata Peak,17.322877034971757,Mayqueen,-106.431,39.278,-106.4729,39.0294
73,La Plata Peak,17.436312550333927,Molly Brown,-106.353,39.264,-106.4729,39.0294
74,La Plata Peak,4.301720093953543,Parry Peak,-106.41,39.068000000000005,-106.4729,39.0294
75,La Plata Peak,8.128464730416226,Portal,-106.61200000000001,39.076,-106.4729,39.0294
76,La Plata Peak,12.919760730184707,Rivers End,-106.569,38.858000000000004,-106.4729,39.0294
77,La Plata Peak,17.159784155011756,Silver Dollar,-106.354,39.26,-106.4729,39.0294
78,La Plata Peak,18.08856715983161,Tabor,-106.35600000000001,39.275,-106.4729,39.0294
79,La Plata Peak,3.808560506277866,Twin Peaks,-106.421,39.067,-106.4729,39.0294
80,La Plata Peak,14.68776781321069,Weller,-106.72,39.121,-106.4729,39.0294
81,La Plata Peak,18.38574973569144,Weston Pass,-106.13600000000001,39.078,-106.4729,39.0294
82,La Plata Peak,7.057810347458735,White Star,-106.367,39.09,-106.4729,39.0294
83,La Plata Peak,17.166783505388466,Collegiate Peaks,-106.316,38.813,-106.4729,39.0294
84,La Plata Peak,19.66739668436245,Cottonwood Lake,-106.292,38.782,-106.4729,39.0294
85,La Plata Peak,15.700102253067124,Lakeview - Almont,-106.58,38.818000000000005,-106.4729,39.0294
86,La Plata Peak,19.370137620916303,Lottis Creek,-106.62700000000001,38.775999999999996,-106.4729,39.0294
87,La Plata Peak,19.63576470892161,Mirror Lake - Almont,-106.432,38.747,-106.4729,39.0294
88,La Plata Peak,17.3013542020073,Mosca,-106.71,38.86,-106.4729,39.0294
89,Mt. Lincoln,13.982288266196955,Baby Doe,-106.351,39.27,-106.1116,39.3515
90,Mt. Lincoln,13.912738980177824,Belle of Colorado,-106.34899999999999,39.269,-106.1116,39.3515
91,Mt. Lincoln,13.869548056126689,Father Dyer,-106.352,39.275999999999996,-106.1116,39.3515
92,Mt. Lincoln,9.78526004562231,Fourmile,-106.104,39.21,-106.1116,39.3515
93,Mt. Lincoln,17.701321126644416,Gold Park,-106.436,39.404,-106.1116,39.3515
94,Mt. Lincoln,14.768440363717923,Matchless,-106.36,39.258,-106.1116,39.3515
95,Mt. Lincoln,17.813247712809286,Mayqueen,-106.431,39.278,-106.1116,39.3515
96,Mt. Lincoln,14.25158445350209,Molly Brown,-106.353,39.264,-106.1116,39.3515
97,Mt. Lincoln,14.41936925212689,Silver Dollar,-106.354,39.26,-106.1116,39.3515
98,Mt. Lincoln,14.093759415520026,Tabor,-106.35600000000001,39.275,-106.1116,39.3515
99,Mt. Lincoln,18.94232394446291,Weston Pass,-106.13600000000001,39.078,-106.1116,39.3515
100,Mt. Lincoln,11.799439442351984,Camp Hale Memorial,-106.314,39.42,-106.1116,39.3515
101,Mt. Lincoln,15.215816272088034,Aspen,-106.03200000000001,40.516999999999996,-106.1116,39.3515
102,Mt. Lincoln,15.215816272088034,Aspen,-105.84299999999999,39.425,-106.1116,39.3515
103,Mt. Lincoln,15.929478657247216,Blodgett,-106.366,39.472,-106.1116,39.3515
104,Mt. Lincoln,19.977837409600827,Halfmoon,-106.432,39.501,-106.1116,39.3515
105,Mt. Lincoln,18.718698036886146,Hall Valley,-105.805,39.483000000000004,-106.1116,39.3515
106,Mt. Lincoln,18.825776232571112,Handcart,-105.802,39.482,-106.1116,39.3515
107,Mt. Lincoln,17.538044558388993,Heaton Bay,-106.07799999999999,39.604,-106.1116,39.3515
108,Mt. Lincoln,15.929478657247216,Hornsilver,-106.366,39.472,-106.1116,39.3515
109,Mt. Lincoln,10.419920542316143,Horseshoe,-106.096,39.9,-106.1116,39.3515
110,Mt. Lincoln,10.419920542316143,Horseshoe,-106.086,39.202,-106.1116,39.3515
111,Mt. Lincoln,10.419920542316143,Horseshoe,-107.113,40.035,-106.1116,39.3515
112,Mt. Lincoln,14.912590663931656,Jefferson Creek,-105.853,39.433,-106.1116,39.3515
113,Mt. Lincoln,19.215152694219512,Kenosha Pass,-105.76100000000001,39.414,-106.1116,39.3515
114,Mt. Lincoln,1.7846159429944435,Kite Lake,-106.12799999999999,39.329,-106.1116,39.3515
115,Mt. Lincoln,15.170448494852424,Lodgepole - Jefferson,-105.84299999999999,39.423,-106.1116,39.3515
116,Mt. Lincoln,19.245106537500767,Lowry,-106.031,39.623000000000005,-106.1116,39.3515
117,Mt. Lincoln,12.882134831551275,Michigan Creek,-105.883,39.411,-106.1116,39.3515
118,Mt. Lincoln,16.209686239021472,Peak One,-106.071,39.584,-106.1116,39.3515
119,Mt. Lincoln,16.497971534513685,Pine Cove,-106.069,39.588,-106.1116,39.3515
120,Mt. Lincoln,17.555358831455493,Prospector,-106.04299999999999,39.6,-106.1116,39.3515
121,Mt. Lincoln,8.695484266349093,Selkirk,-105.95100000000001,39.372,-106.1116,39.3515
122,Quandary Peak,15.755603692560095,Baby Doe,-106.351,39.27,-106.1064,39.3973
123,Quandary Peak,15.706009920710446,Belle of Colorado,-106.34899999999999,39.269,-106.1064,39.3973
124,Quandary Peak,15.572521605298173,Father Dyer,-106.352,39.275999999999996,-106.1064,39.3973
125,Quandary Peak,12.941960009348902,Fourmile,-106.104,39.21,-106.1064,39.3973
126,Quandary Peak,17.603695391783095,Gold Park,-106.436,39.404,-106.1064,39.3973
127,Quandary Peak,16.623761266390325,Matchless,-106.36,39.258,-106.1064,39.3973
128,Quandary Peak,19.20519444038982,Mayqueen,-106.431,39.278,-106.1064,39.3973
129,Quandary Peak,16.078691805415456,Molly Brown,-106.353,39.264,-106.1064,39.3973
130,Quandary Peak,16.282299701031015,Silver Dollar,-106.354,39.26,-106.1064,39.3973
131,Quandary Peak,15.790050402408745,Tabor,-106.35600000000001,39.275,-106.1064,39.3973
132,Quandary Peak,11.193095634959247,Camp Hale Memorial,-106.314,39.42,-106.1064,39.3973
133,Quandary Peak,14.19067896509708,Aspen,-106.03200000000001,40.516999999999996,-106.1064,39.3973
134,Quandary Peak,14.19067896509708,Aspen,-105.84299999999999,39.425,-106.1064,39.3973
135,Quandary Peak,14.78372688722712,Blodgett,-106.366,39.472,-106.1064,39.3973
136,Quandary Peak,18.791553157373862,Halfmoon,-106.432,39.501,-106.1064,39.3973
137,Quandary Peak,17.138295312299803,Hall Valley,-105.805,39.483000000000004,-106.1064,39.3973
138,Quandary Peak,17.265173995990818,Handcart,-105.802,39.482,-106.1064,39.3973
139,Quandary Peak,14.361786991888227,Heaton Bay,-106.07799999999999,39.604,-106.1064,39.3973
140,Quandary Peak,14.78372688722712,Hornsilver,-106.366,39.472,-106.1064,39.3973
141,Quandary Peak,13.538088228480351,Horseshoe,-106.096,39.9,-106.1064,39.3973
142,Quandary Peak,13.538088228480351,Horseshoe,-106.086,39.202,-106.1064,39.3973
143,Quandary Peak,13.538088228480351,Horseshoe,-107.113,40.035,-106.1064,39.3973
144,Quandary Peak,13.749486995015518,Jefferson Creek,-105.853,39.433,-106.1064,39.3973
145,Quandary Peak,18.475925272703915,Kenosha Pass,-105.76100000000001,39.414,-106.1064,39.3973
146,Quandary Peak,4.858142916899381,Kite Lake,-106.12799999999999,39.329,-106.1064,39.3973
147,Quandary Peak,14.172903009862926,Lodgepole - Jefferson,-105.84299999999999,39.423,-106.1064,39.3973
148,Quandary Peak,16.104180473467856,Lowry,-106.031,39.623000000000005,-106.1064,39.3973
149,Quandary Peak,11.964413984478359,Michigan Creek,-105.883,39.411,-106.1064,39.3973
150,Quandary Peak,13.037238294816222,Peak One,-106.071,39.584,-106.1064,39.3973
151,Quandary Peak,13.326295294776662,Pine Cove,-106.069,39.588,-106.1064,39.3973
152,Quandary Peak,14.40750868623165,Prospector,-106.04299999999999,39.6,-106.1064,39.3973
153,Quandary Peak,8.480947618065683,Selkirk,-105.95100000000001,39.372,-106.1064,39.3973
154,Quandary Peak,18.238883572145244,Gore Creek,-106.275,39.626999999999995,-106.1064,39.3973
155,Quandary Peak,18.943962619082946,Tigiwon,-106.42200000000001,39.523,-106.1064,39.3973
156,Mt. Bross,13.770712998901777,Baby Doe,-106.351,39.27,-106.1077,39.3354
157,Mt. Bross,13.692829870577283,Belle of Colorado,-106.34899999999999,39.269,-106.1077,39.3354
158,Mt. Bross,13.6907632476583,Father Dyer,-106.352,39.275999999999996,-106.1077,39.3354
159,Mt. Bross,8.666659401772632,Fourmile,-106.104,39.21,-106.1077,39.3354
160,Mt. Bross,18.16525573873416,Gold Park,-106.436,39.404,-106.1077,39.3354
161,Mt. Bross,19.574690766843073,Halfmoon East,-106.396,39.161,-106.1077,39.3354
162,Mt. Bross,19.745148893635662,Halfmoon West,-106.397,39.158,-106.1077,39.3354
163,Mt. Bross,14.511885866275184,Matchless,-106.36,39.258,-106.1077,39.3354
164,Mt. Bross,17.733642288808003,Mayqueen,-106.431,39.278,-106.1077,39.3354
165,Mt. Bross,14.01282156094526,Molly Brown,-106.353,39.264,-106.1077,39.3354
166,Mt. Bross,14.162547696147387,Silver Dollar,-106.354,39.26,-106.1077,39.3354
167,Mt. Bross,13.915584840781753,Tabor,-106.35600000000001,39.275,-106.1077,39.3354
168,Mt. Bross,17.84924358548973,Weston Pass,-106.13600000000001,39.078,-106.1077,39.3354
169,Mt. Bross,12.47268112115067,Camp Hale Memorial,-106.314,39.42,-106.1077,39.3354
170,Mt. Bross,15.432830755251826,Aspen,-106.03200000000001,40.516999999999996,-106.1077,39.3354
171,Mt. Bross,15.432830755251826,Aspen,-105.84299999999999,39.425,-106.1077,39.3354
172,Mt. Bross,16.71080982430458,Blodgett,-106.366,39.472,-106.1077,39.3354
173,Mt. Bross,19.108410338423973,Hall Valley,-105.805,39.483000000000004,-106.1077,39.3354
174,Mt. Bross,19.207609110075676,Handcart,-105.802,39.482,-106.1077,39.3354
175,Mt. Bross,18.62616028582203,Heaton Bay,-106.07799999999999,39.604,-106.1077,39.3354
176,Mt. Bross,16.71080982430458,Hornsilver,-106.366,39.472,-106.1077,39.3354
177,Mt. Bross,9.289955807116874,Horseshoe,-106.096,39.9,-106.1077,39.3354
178,Mt. Bross,9.289955807116874,Horseshoe,-106.086,39.202,-106.1077,39.3354
179,Mt. Bross,9.289955807116874,Horseshoe,-107.113,40.035,-106.1077,39.3354
180,Mt. Bross,15.181765481395926,Jefferson Creek,-105.853,39.433,-106.1077,39.3354
181,Mt. Bross,19.297414703840214,Kenosha Pass,-105.76100000000001,39.414,-106.1077,39.3354
182,Mt. Bross,1.1715560408270682,Kite Lake,-106.12799999999999,39.329,-106.1077,39.3354
183,Mt. Bross,15.378104342690222,Lodgepole - Jefferson,-105.84299999999999,39.423,-106.1077,39.3354
184,Mt. Bross,13.089090834649967,Michigan Creek,-105.883,39.411,-106.1077,39.3354
185,Mt. Bross,17.28800385504924,Peak One,-106.071,39.584,-106.1077,39.3354
186,Mt. Bross,17.57483633397957,Pine Cove,-106.069,39.588,-106.1077,39.3354
187,Mt. Bross,18.605165234572333,Prospector,-106.04299999999999,39.6,-106.1077,39.3354
188,Mt. Bross,8.745566505552024,Selkirk,-105.95100000000001,39.372,-106.1077,39.3354
189,Mt. Democrat,12.263166864683864,Baby Doe,-106.351,39.27,-106.14,39.3396
190,Mt. Democrat,12.192427763873908,Belle of Colorado,-106.34899999999999,39.269,-106.14,39.3396
191,Mt. Democrat,19.76741556008621,Dexter,-106.325,39.092,-106.14,39.3396
192,Mt. Democrat,19.73058374263365,Elbert Creek,-106.41799999999999,39.152,-106.14,39.3396
193,Mt. Democrat,12.1559856469276,Father Dyer,-106.352,39.275999999999996,-106.14,39.3396
194,Mt. Democrat,9.159281529984096,Fourmile,-106.104,39.21,-106.14,39.3396
195,Mt. Democrat,16.42443981376855,Gold Park,-106.436,39.404,-106.14,39.3396
196,Mt. Democrat,18.43639554832581,Halfmoon East,-106.396,39.161,-106.14,39.3396
197,Mt. Democrat,18.615482146012916,Halfmoon West,-106.397,39.158,-106.14,39.3396
198,Mt. Democrat,13.04448785495101,Matchless,-106.36,39.258,-106.14,39.3396
199,Mt. Democrat,16.128870873659668,Mayqueen,-106.431,39.278,-106.14,39.3396
200,Mt. Democrat,12.529142195893291,Molly Brown,-106.353,39.264,-106.14,39.3396
201,Mt. Democrat,12.695322741107809,Silver Dollar,-106.354,39.26,-106.14,39.3396
202,Mt. Democrat,12.380431882204684,Tabor,-106.35600000000001,39.275,-106.14,39.3396
203,Mt. Democrat,18.07628365367792,Weston Pass,-106.13600000000001,39.078,-106.14,39.3396
204,Mt. Democrat,10.826613583408987,Camp Hale Memorial,-106.314,39.42,-106.14,39.3396
205,Mt. Democrat,16.92324705252412,Aspen,-106.03200000000001,40.516999999999996,-106.14,39.3396
206,Mt. Democrat,16.92324705252412,Aspen,-105.84299999999999,39.425,-106.14,39.3396
207,Mt. Democrat,15.14138205167998,Blodgett,-106.366,39.472,-106.14,39.3396
208,Mt. Democrat,19.164462040958053,Halfmoon,-106.432,39.501,-106.14,39.3396
209,Mt. Democrat,18.565358104729334,Heaton Bay,-106.07799999999999,39.604,-106.14,39.3396
210,Mt. Democrat,15.14138205167998,Hornsilver,-106.366,39.472,-106.14,39.3396
211,Mt. Democrat,9.936441503770784,Horseshoe,-106.096,39.9,-106.14,39.3396
212,Mt. Democrat,9.936441503770784,Horseshoe,-106.086,39.202,-106.14,39.3396
213,Mt. Democrat,9.936441503770784,Horseshoe,-107.113,40.035,-106.14,39.3396
214,Mt. Democrat,16.629550446491823,Jefferson Creek,-105.853,39.433,-106.14,39.3396
215,Mt. Democrat,0.9734835955559537,Kite Lake,-106.12799999999999,39.329,-106.14,39.3396
216,Mt. Democrat,16.875775710910155,Lodgepole - Jefferson,-105.84299999999999,39.423,-106.14,39.3396
217,Mt. Democrat,14.58602993654553,Michigan Creek,-105.883,39.411,-106.14,39.3396
218,Mt. Democrat,17.283081254708375,Peak One,-106.071,39.584,-106.14,39.3396
219,Mt. Democrat,17.57587343133085,Pine Cove,-106.069,39.588,-106.14,39.3396
220,Mt. Democrat,18.721205074770594,Prospector,-106.04299999999999,39.6,-106.14,39.3396
221,Mt. Democrat,10.342534484711296,Selkirk,-105.95100000000001,39.372,-106.14,39.3396
222,Mt. Democrat,19.673980703876868,Tigiwon,-106.42200000000001,39.523,-106.14,39.3396
223,Mt. Sherman,10.17687142536011,Baby Doe,-106.351,39.27,-106.1699,39.225
224,Mt. Sherman,10.05398264772273,Belle of Colorado,-106.34899999999999,39.269,-106.1699,39.225
225,Mt. Sherman,12.389365692377003,Dexter,-106.325,39.092,-106.1699,39.225
226,Mt. Sherman,14.211633166696119,Elbert Creek,-106.41799999999999,39.152,-106.1699,39.225
227,Mt. Sherman,10.360998014843538,Father Dyer,-106.352,39.275999999999996,-106.1699,39.225
228,Mt. Sherman,3.67677133787457,Fourmile,-106.104,39.21,-106.1699,39.225
229,Mt. Sherman,18.849634274171088,Gold Park,-106.436,39.404,-106.1699,39.225
230,Mt. Sherman,12.889775218226363,Halfmoon East,-106.396,39.161,-106.1699,39.225
231,Mt. Sherman,13.012623176532243,Halfmoon West,-106.397,39.158,-106.1699,39.225
232,Mt. Sherman,13.688327168422932,Lakeview - Twin Lakes,-106.366,39.098,-106.1699,39.225
233,Mt. Sherman,10.425112607700838,Matchless,-106.36,39.258,-106.1699,39.225
234,Mt. Sherman,14.442086392872536,Mayqueen,-106.431,39.278,-106.1699,39.225
235,Mt. Sherman,10.161511149454729,Molly Brown,-106.353,39.264,-106.1699,39.225
236,Mt. Sherman,16.828562841096282,Parry Peak,-106.41,39.068000000000005,-106.1699,39.225
237,Mt. Sherman,10.143971589283709,Silver Dollar,-106.354,39.26,-106.1699,39.225
238,Mt. Sherman,10.539730457322491,Tabor,-106.35600000000001,39.275,-106.1699,39.225
239,Mt. Sherman,17.326893932957095,Twin Peaks,-106.421,39.067,-106.1699,39.225
240,Mt. Sherman,10.317971053868364,Weston Pass,-106.13600000000001,39.078,-106.1699,39.225
241,Mt. Sherman,14.089633748291314,White Star,-106.367,39.09,-106.1699,39.225
242,Mt. Sherman,15.519513493894404,Camp Hale Memorial,-106.314,39.42,-106.1699,39.225
243,Mt. Sherman,16.550782468785226,Buffalo Springs,-105.98700000000001,39.032,-106.1699,39.225
244,Mt. Sherman,4.764334473994639,Horseshoe,-106.096,39.9,-106.1699,39.225
245,Mt. Sherman,4.764334473994639,Horseshoe,-106.086,39.202,-106.1699,39.225
246,Mt. Sherman,4.764334473994639,Horseshoe,-107.113,40.035,-106.1699,39.225
247,Mt. Sherman,7.527134716881928,Kite Lake,-106.12799999999999,39.329,-106.1699,39.225
248,Mt. Sherman,15.496862351629867,Selkirk,-105.95100000000001,39.372,-106.1699,39.225
249,Mt. of the Holy Cross,15.285215551699025,Baby Doe,-106.351,39.27,-106.4817,39.4668
250,Mt. of the Holy Cross,15.395629891850367,Belle of Colorado,-106.34899999999999,39.269,-106.4817,39.4668
251,Mt. of the Holy Cross,13.698613156349131,Chapman,-106.637,39.309,-106.4817,39.4668
252,Mt. of the Holy Cross,10.971865020868409,Elk Wallow,-106.61200000000001,39.344,-106.4817,39.4668
253,Mt. of the Holy Cross,14.892559342481585,Father Dyer,-106.352,39.275999999999996,-106.4817,39.4668
254,Mt. of the Holy Cross,4.977483557271898,Gold Park,-106.436,39.404,-106.4817,39.4668
255,Mt. of the Holy Cross,15.824022833916796,Matchless,-106.36,39.258,-106.4817,39.4668
256,Mt. of the Holy Cross,13.323078325448922,Mayqueen,-106.431,39.278,-106.4817,39.4668
257,Mt. of the Holy Cross,15.607938697534566,Molly Brown,-106.353,39.264,-106.4817,39.4668
258,Mt. of the Holy Cross,15.8335244423121,Silver Dollar,-106.354,39.26,-106.4817,39.4668
259,Mt. of the Holy Cross,14.85600592014732,Tabor,-106.35600000000001,39.275,-106.4817,39.4668
260,Mt. of the Holy Cross,9.514493080554349,Camp Hale Memorial,-106.314,39.42,-106.4817,39.4668
261,Mt. of the Holy Cross,15.511953273442646,Dearhamer,-106.738,39.361,-106.4817,39.4668
262,Mt. of the Holy Cross,6.181675482197229,Blodgett,-106.366,39.472,-106.4817,39.4668
263,Mt. of the Holy Cross,3.550807175453587,Halfmoon,-106.432,39.501,-106.4817,39.4668
264,Mt. of the Holy Cross,6.181675482197229,Hornsilver,-106.366,39.472,-106.4817,39.4668
265,Mt. of the Holy Cross,15.614078213043904,Gore Creek,-106.275,39.626999999999995,-106.4817,39.4668
266,Mt. of the Holy Cross,5.021018939490035,Tigiwon,-106.42200000000001,39.523,-106.4817,39.4668
267,Mt. of the Holy Cross,9.562028602975023,Fulford Cave,-106.65799999999999,39.492,-106.4817,39.4668
268,Mt. of the Holy Cross,18.364490684071626,Little Mattie,-106.806,39.378,-106.4817,39.4668
269,Mt. of the Holy Cross,18.786383436833813,Little Maud,-106.81299999999999,39.375,-106.4817,39.4668
270,Mt. of the Holy Cross,18.63573892658065,Mollie B,-106.81,39.375,-106.4817,39.4668
271,Mt. of the Holy Cross,13.487313694750652,Sylvan Lake State Park,-106.734,39.48,-106.4817,39.4668
272,Mt. of the Holy Cross,19.148687633623283,Wolcott,-106.676,39.7,-106.4817,39.4668
273,Mt. of the Holy Cross,10.746843869273794,Yeoman Park,-106.678,39.501999999999995,-106.4817,39.4668
274,Mt. Cameron,13.5249145531093,Baby Doe,-106.351,39.27,-106.118501,39.347165000000004
275,Mt. Cameron,13.454383598848448,Belle of Colorado,-106.34899999999999,39.269,-106.118501,39.347165000000004
276,Mt. Cameron,13.416149705407584,Father Dyer,-106.352,39.275999999999996,-106.118501,39.347165000000004
277,Mt. Cameron,9.508972970391065,Fourmile,-106.104,39.21,-106.118501,39.347165000000004
278,Mt. Cameron,17.4063702446509,Gold Park,-106.436,39.404,-106.118501,39.347165000000004
279,Mt. Cameron,19.64399335846877,Halfmoon East,-106.396,39.161,-106.118501,39.347165000000004
280,Mt. Cameron,19.820771746807047,Halfmoon West,-106.397,39.158,-106.118501,39.347165000000004
281,Mt. Cameron,14.306403110632374,Matchless,-106.36,39.258,-106.118501,39.347165000000004
282,Mt. Cameron,17.37571304415043,Mayqueen,-106.431,39.278,-106.118501,39.347165000000004
283,Mt. Cameron,13.7912550827379,Molly Brown,-106.353,39.264,-106.118501,39.347165000000004
284,Mt. Cameron,13.957213254630446,Silver Dollar,-106.354,39.26,-106.118501,39.347165000000004
285,Mt. Cameron,13.640520719807448,Tabor,-106.35600000000001,39.275,-106.118501,39.347165000000004
286,Mt. Cameron,18.621291002255226,Weston Pass,-106.13600000000001,39.078,-106.118501,39.347165000000004
287,Mt. Cameron,11.589985094346234,Camp Hale Memorial,-106.314,39.42,-106.118501,39.347165000000004
288,Mt. Cameron,15.664408027928307,Aspen,-106.03200000000001,40.516999999999996,-106.118501,39.347165000000004
289,Mt. Cameron,15.664408027928307,Aspen,-105.84299999999999,39.425,-106.118501,39.347165000000004
290,Mt. Cameron,15.778665418986105,Blodgett,-106.366,39.472,-106.118501,39.347165000000004
291,Mt. Cameron,19.82292114165617,Halfmoon,-106.432,39.501,-106.118501,39.347165000000004
